strain	date	country	continent
PQ065033.1	2024-02-03	Brazil	South America
PQ065036.1	2024-02-04	Brazil	South America
PQ065039.1	2024-02-09	Brazil	South America
PQ065042.1	2024-02-09	Brazil	South America
PQ065045.1	2024-02-09	Brazil	South America
PQ065048.1	2024-01-28	Brazil	South America
PQ065051.1	2024-01-31	Brazil	South America
PQ065054.1	2024-01-31	Brazil	South America
PQ065057.1	2024-01-31	Brazil	South America
PQ065060.1	2024-01-31	Brazil	South America
PQ065063.1	2024-01-31	Brazil	South America
PQ065066.1	2024-01-31	Brazil	South America
PQ065069.1	2024-01-31	Brazil	South America
PQ065072.1	2024-01-31	Brazil	South America
PQ065075.1	2024-02-01	Brazil	South America
PQ065078.1	2024-02-01	Brazil	South America
PQ065081.1	2024-02-01	Brazil	South America
PQ065084.1	2024-02-02	Brazil	South America
PQ065087.1	2024-02-02	Brazil	South America
PQ065090.1	2024-02-01	Brazil	South America
PQ065093.1	2024-02-01	Brazil	South America
PQ065096.1	2024-02-01	Brazil	South America
PQ065099.1	2024-02-05	Brazil	South America
PQ065102.1	2024-02-05	Brazil	South America
PQ065105.1	2024-02-06	Brazil	South America
PQ065108.1	2024-02-06	Brazil	South America
PQ065111.1	2024-02-06	Brazil	South America
PQ065114.1	2024-02-06	Brazil	South America
PQ065117.1	2024-02-06	Brazil	South America
PQ065120.1	2024-02-06	Brazil	South America
PQ065123.1	2024-01-26	Brazil	South America
PQ065126.1	2024-01-31	Brazil	South America
PQ065129.1	2024-01-30	Brazil	South America
PQ065132.1	2024-01-31	Brazil	South America
PQ065135.1	2024-02-01	Brazil	South America
PQ065138.1	2024-02-04	Brazil	South America
PQ065141.1	2024-02-04	Brazil	South America
PQ065144.1	2024-02-25	Brazil	South America
PQ065147.1	2024-02-22	Brazil	South America
PQ065150.1	2023-12-28	Brazil	South America
PQ065153.1	2024-01-29	Brazil	South America
PQ065156.1	2023-12-28	Brazil	South America
PQ065159.1	2024-01-30	Brazil	South America
PQ065162.1	2024-01-30	Brazil	South America
PQ065165.1	2024-01-30	Brazil	South America
PQ065168.1	2024-01-31	Brazil	South America
PQ065171.1	2024-02-02	Brazil	South America
PQ065174.1	2024-02-02	Brazil	South America
PQ065177.1	2024-02-02	Brazil	South America
PQ065180.1	2024-02-02	Brazil	South America
PQ065183.1	2024-01-30	Brazil	South America
PQ065186.1	2024-01-29	Brazil	South America
PQ065189.1	2024-01-31	Brazil	South America
PQ065192.1	2024-01-25	Brazil	South America
PQ065195.1	2024-01-25	Brazil	South America
PQ065198.1	2024-01-24	Brazil	South America
PQ065201.1	2024-01-24	Brazil	South America
PQ065204.1	2024-01-23	Brazil	South America
PQ065207.1	2024-01-23	Brazil	South America
PQ065210.1	2024-01-31	Brazil	South America
PQ065213.1	2024-01-31	Brazil	South America
PQ065216.1	2024-02-07	Brazil	South America
PQ065219.1	2023-12-29	Brazil	South America
PQ065222.1	2023-12-25	Brazil	South America
PQ065225.1	2023-12-27	Brazil	South America
PQ065228.1	2023-12-28	Brazil	South America
PQ065231.1	2023-12-13	Brazil	South America
PQ065234.1	2023-12-13	Brazil	South America
PQ065237.1	2023-12-13	Brazil	South America
PQ065240.1	2023-12-13	Brazil	South America
PQ065243.1	2023-12-13	Brazil	South America
PQ065246.1	2023-12-14	Brazil	South America
PQ065249.1	2023-12-15	Brazil	South America
PQ065252.1	2023-12-15	Brazil	South America
PQ065255.1	2023-12-15	Brazil	South America
PQ065258.1	2023-12-15	Brazil	South America
PQ065261.1	2023-12-15	Brazil	South America
PQ065264.1	2023-12-17	Brazil	South America
PQ065267.1	2023-12-17	Brazil	South America
PQ065270.1	2023-12-18	Brazil	South America
PQ065273.1	2023-12-18	Brazil	South America
PQ065276.1	2023-12-18	Brazil	South America
PQ065279.1	2023-12-18	Brazil	South America
PQ065282.1	2023-12-18	Brazil	South America
PQ065285.1	2023-12-19	Brazil	South America
PQ065288.1	2023-12-19	Brazil	South America
PQ065291.1	2023-12-20	Brazil	South America
PQ065294.1	2023-12-23	Brazil	South America
PQ065297.1	2023-12-23	Brazil	South America
PQ065300.1	2023-12-22	Brazil	South America
PQ065303.1	2023-12-22	Brazil	South America
PQ065306.1	2023-12-22	Brazil	South America
PQ065309.1	2023-12-22	Brazil	South America
PQ065312.1	2023-12-23	Brazil	South America
PQ065315.1	2023-12-22	Brazil	South America
PQ065318.1	2023-12-23	Brazil	South America
PQ065321.1	2023-12-22	Brazil	South America
PQ065324.1	2023-12-24	Brazil	South America
PQ065327.1	2023-12-22	Brazil	South America
PQ065330.1	2023-12-22	Brazil	South America
PQ065333.1	2023-12-24	Brazil	South America
PQ065336.1	2023-12-22	Brazil	South America
PQ065339.1	2023-12-22	Brazil	South America
PQ065342.1	2023-12-22	Brazil	South America
PQ065345.1	2023-12-25	Brazil	South America
PQ065348.1	2023-12-24	Brazil	South America
PQ065351.1	2023-12-23	Brazil	South America
PQ065354.1	2023-12-24	Brazil	South America
PQ065357.1	2023-12-24	Brazil	South America
PQ065360.1	2023-12-24	Brazil	South America
PQ065363.1	2023-12-24	Brazil	South America
PQ065366.1	2023-12-24	Brazil	South America
PQ065369.1	2023-12-22	Brazil	South America
PQ065372.1	2023-12-24	Brazil	South America
PQ065375.1	2023-12-24	Brazil	South America
PQ065378.1	2023-12-22	Brazil	South America
PQ065381.1	2023-12-22	Brazil	South America
PQ065384.1	2023-12-22	Brazil	South America
PQ065387.1	2023-12-25	Brazil	South America
PQ065390.1	2023-12-25	Brazil	South America
PQ065393.1	2023-12-25	Brazil	South America
PQ065396.1	2023-12-25	Brazil	South America
PQ065399.1	2023-12-25	Brazil	South America
PQ065402.1	2023-12-25	Brazil	South America
PQ065405.1	2023-12-25	Brazil	South America
