strain	date	country	continent
PP966969.1	2024-01-05	Peru	South America
PP966970.1	2024-01-15	Peru	South America
PP966971.1	2022-02-21	Peru	South America
PP992525.1	2024-01-30	Brazil	South America
PP992526.1	2024-01-21	Brazil	South America
PQ064573.1	2024-01-08	Brazil	South America
PQ064576.1	2024-01-09	Brazil	South America
PQ064579.1	2024-01-08	Brazil	South America
PQ064582.1	2024-01-17	Brazil	South America
PQ064585.1	2024-01-17	Brazil	South America
PQ064588.1	2024-01-17	Brazil	South America
PQ064591.1	2024-01-17	Brazil	South America
PQ064594.1	2024-01-17	Brazil	South America
PQ064597.1	2024-01-19	Brazil	South America
PQ064600.1	2024-01-15	Brazil	South America
PQ064603.1	2024-01-05	Brazil	South America
PQ064606.1	2023-11-29	Brazil	South America
PQ064609.1	2024-01-05	Brazil	South America
PQ064612.1	2024-01-12	Brazil	South America
PQ064615.1	2024-01-12	Brazil	South America
PQ064618.1	2024-01-12	Brazil	South America
PQ064621.1	2023-11-30	Brazil	South America
PQ064624.1	2023-12-12	Brazil	South America
PQ064627.1	2023-12-14	Brazil	South America
PQ064630.1	2023-12-19	Brazil	South America
PQ064633.1	2023-11-24	Brazil	South America
PQ064636.1	2023-11-29	Brazil	South America
PQ064639.1	2023-12-15	Brazil	South America
PQ064642.1	2023-11-22	Brazil	South America
PQ064645.1	2023-12-14	Brazil	South America
PQ064648.1	2023-12-14	Brazil	South America
PQ064651.1	2023-12-15	Brazil	South America
PQ064654.1	2023-12-13	Brazil	South America
PQ064657.1	2023-12-13	Brazil	South America
PQ064660.1	2023-12-13	Brazil	South America
PQ064663.1	2023-12-13	Brazil	South America
PQ064666.1	2024-01-09	Brazil	South America
PQ064669.1	2024-01-04	Brazil	South America
PQ064672.1	2023-12-31	Brazil	South America
PQ064675.1	2023-12-29	Brazil	South America
PQ064678.1	2023-12-29	Brazil	South America
PQ064681.1	2024-01-02	Brazil	South America
PQ064684.1	2024-01-02	Brazil	South America
PQ064687.1	2023-12-29	Brazil	South America
PQ064690.1	2024-01-04	Brazil	South America
PQ064693.1	2023-12-29	Brazil	South America
PQ064696.1	2024-01-05	Brazil	South America
PQ064699.1	2024-01-04	Brazil	South America
PQ064702.1	2024-01-03	Brazil	South America
PQ064705.1	2024-01-04	Brazil	South America
PQ064708.1	2024-01-04	Brazil	South America
PQ064711.1	2024-01-04	Brazil	South America
PQ064714.1	2024-01-09	Brazil	South America
PQ064717.1	2023-12-29	Brazil	South America
PQ064720.1	2024-01-04	Brazil	South America
PQ064723.1	2024-01-04	Brazil	South America
PQ064726.1	2023-12-29	Brazil	South America
PQ064729.1	2024-01-04	Brazil	South America
PQ064732.1	2023-12-29	Brazil	South America
PQ064735.1	2023-12-29	Brazil	South America
PQ064738.1	2024-01-04	Brazil	South America
PQ064741.1	2023-12-29	Brazil	South America
PQ064744.1	2024-01-05	Brazil	South America
PQ064747.1	2024-01-03	Brazil	South America
PQ064750.1	2023-12-29	Brazil	South America
PQ064753.1	2024-01-04	Brazil	South America
PQ064756.1	2024-01-05	Brazil	South America
PQ064759.1	2023-12-29	Brazil	South America
PQ064762.1	2023-12-29	Brazil	South America
PQ064765.1	2024-01-05	Brazil	South America
PQ064768.1	2024-01-02	Brazil	South America
PQ064771.1	2023-12-30	Brazil	South America
PQ064774.1	2024-01-08	Brazil	South America
PQ064777.1	2024-01-07	Brazil	South America
PQ064780.1	2023-12-30	Brazil	South America
PQ064783.1	2024-01-07	Brazil	South America
PQ064786.1	2023-12-29	Brazil	South America
PQ064789.1	2024-01-07	Brazil	South America
PQ064792.1	2024-01-24	Brazil	South America
PQ064795.1	2023-12-30	Brazil	South America
PQ064798.1	2024-01-07	Brazil	South America
PQ064801.1	2024-01-07	Brazil	South America
PQ064804.1	2024-01-08	Brazil	South America
PQ064807.1	2024-01-26	Brazil	South America
PQ064810.1	2024-01-26	Brazil	South America
PQ064813.1	2023-12-31	Brazil	South America
PQ064816.1	2024-01-03	Brazil	South America
PQ064819.1	2024-01-03	Brazil	South America
PQ064822.1	2024-01-10	Brazil	South America
PQ064825.1	2024-01-08	Brazil	South America
PQ064828.1	2024-01-08	Brazil	South America
PQ064831.1	2024-01-04	Brazil	South America
PQ064834.1	2024-01-08	Brazil	South America
PQ064837.1	2024-01-01	Brazil	South America
PQ064840.1	2024-01-26	Brazil	South America
PQ064843.1	2024-01-03	Brazil	South America
PQ064846.1	2024-01-29	Brazil	South America
PQ064849.1	2024-01-29	Brazil	South America
PQ064852.1	2024-01-03	Brazil	South America
PQ064855.1	2024-01-01	Brazil	South America
PQ064858.1	2023-12-28	Brazil	South America
PQ064861.1	2023-12-27	Brazil	South America
PQ064864.1	2024-01-03	Brazil	South America
PQ064867.1	2024-01-03	Brazil	South America
PQ064870.1	2023-12-25	Brazil	South America
PQ064873.1	2023-12-22	Brazil	South America
PQ064876.1	2024-01-03	Brazil	South America
PQ064879.1	2023-12-23	Brazil	South America
PQ064882.1	2023-12-23	Brazil	South America
PQ064885.1	2024-02-01	Brazil	South America
PQ064888.1	2023-12-23	Brazil	South America
PQ064891.1	2024-01-03	Brazil	South America
PQ064894.1	2023-12-23	Brazil	South America
PQ064897.1	2024-01-30	Brazil	South America
PQ064900.1	2023-12-23	Brazil	South America
PQ064903.1	2024-01-03	Brazil	South America
PQ064906.1	2024-01-04	Brazil	South America
PQ064909.1	2023-12-24	Brazil	South America
PQ064912.1	2023-12-25	Brazil	South America
PQ064915.1	2023-12-25	Brazil	South America
PQ064918.1	2023-12-25	Brazil	South America
PQ064921.1	2024-01-03	Brazil	South America
PQ064924.1	2024-01-03	Brazil	South America
PQ064927.1	2024-01-03	Brazil	South America
PQ064930.1	2023-12-21	Brazil	South America
PQ064933.1	2024-01-04	Brazil	South America
PQ064936.1	2024-01-04	Brazil	South America
PQ064939.1	2024-01-03	Brazil	South America
PQ064942.1	2024-01-03	Brazil	South America
PQ064945.1	2024-01-03	Brazil	South America
PQ064948.1	2024-01-24	Brazil	South America
PQ064951.1	2023-12-26	Brazil	South America
PQ064954.1	2024-01-05	Brazil	South America
PQ064957.1	2024-01-04	Brazil	South America
PQ064960.1	2024-01-04	Brazil	South America
PQ064963.1	2024-01-05	Brazil	South America
PQ064966.1	2024-01-04	Brazil	South America
PQ064969.1	2024-01-04	Brazil	South America
PQ064972.1	2024-01-04	Brazil	South America
PQ064975.1	2024-02-01	Brazil	South America
PQ064978.1	2024-01-05	Brazil	South America
PQ064981.1	2024-01-04	Brazil	South America
PQ064984.1	2024-01-05	Brazil	South America
PQ064987.1	2024-02-07	Brazil	South America
PQ064990.1	2024-01-05	Brazil	South America
PQ064993.1	2024-02-08	Brazil	South America
PQ064996.1	2024-02-08	Brazil	South America
PQ064999.1	2024-01-23	Brazil	South America
PQ065002.1	2024-01-16	Brazil	South America
PQ065005.1	2024-01-18	Brazil	South America
PQ065008.1	2024-01-25	Brazil	South America
PQ065011.1	2024-01-25	Brazil	South America
PQ065014.1	2024-01-31	Brazil	South America
PQ065017.1	2024-01-24	Brazil	South America
PQ065020.1	2024-02-02	Brazil	South America
PQ065023.1	2024-02-02	Brazil	South America
PQ065026.1	2024-02-03	Brazil	South America
PQ065029.1	2024-02-03	Brazil	South America
PQ065032.1	2024-02-03	Brazil	South America
PQ065035.1	2024-02-03	Brazil	South America
PQ065038.1	2024-02-04	Brazil	South America
PQ065041.1	2024-02-09	Brazil	South America
PQ065044.1	2024-02-09	Brazil	South America
PQ065047.1	2024-02-09	Brazil	South America
PQ065050.1	2024-01-28	Brazil	South America
PQ065053.1	2024-01-31	Brazil	South America
PQ065056.1	2024-01-31	Brazil	South America
PQ065059.1	2024-01-31	Brazil	South America
PQ065062.1	2024-01-31	Brazil	South America
PQ065065.1	2024-01-31	Brazil	South America
PQ065068.1	2024-01-31	Brazil	South America
PQ065071.1	2024-01-31	Brazil	South America
PQ065074.1	2024-01-31	Brazil	South America
PQ065077.1	2024-02-01	Brazil	South America
PQ065080.1	2024-02-01	Brazil	South America
PQ065083.1	2024-02-01	Brazil	South America
PQ065086.1	2024-02-02	Brazil	South America
PQ065089.1	2024-02-02	Brazil	South America
PQ065092.1	2024-02-01	Brazil	South America
PQ065095.1	2024-02-01	Brazil	South America
PQ065098.1	2024-02-01	Brazil	South America
PQ065101.1	2024-02-05	Brazil	South America
PQ065104.1	2024-02-05	Brazil	South America
PQ065107.1	2024-02-06	Brazil	South America
PQ065110.1	2024-02-06	Brazil	South America
PQ065113.1	2024-02-06	Brazil	South America
PQ065116.1	2024-02-06	Brazil	South America
PQ065119.1	2024-02-06	Brazil	South America
PQ065122.1	2024-02-06	Brazil	South America
PQ065125.1	2024-01-26	Brazil	South America
PQ065128.1	2024-01-31	Brazil	South America
PQ065131.1	2024-01-30	Brazil	South America
PQ065134.1	2024-01-31	Brazil	South America
PQ065137.1	2024-02-01	Brazil	South America
PQ065140.1	2024-02-04	Brazil	South America
PQ065143.1	2024-02-04	Brazil	South America
PQ065146.1	2024-02-25	Brazil	South America
PQ065149.1	2024-02-22	Brazil	South America
PQ065152.1	2023-12-28	Brazil	South America
PQ065155.1	2024-01-29	Brazil	South America
PQ065158.1	2023-12-28	Brazil	South America
PQ065161.1	2024-01-30	Brazil	South America
PQ065164.1	2024-01-30	Brazil	South America
PQ065167.1	2024-01-30	Brazil	South America
PQ065170.1	2024-01-31	Brazil	South America
PQ065173.1	2024-02-02	Brazil	South America
PQ065176.1	2024-02-02	Brazil	South America
PQ065179.1	2024-02-02	Brazil	South America
PQ065182.1	2024-02-02	Brazil	South America
PQ065185.1	2024-01-30	Brazil	South America
PQ065188.1	2024-01-29	Brazil	South America
PQ065191.1	2024-01-31	Brazil	South America
PQ065194.1	2024-01-25	Brazil	South America
PQ065197.1	2024-01-25	Brazil	South America
