strain	date	country	continent
PQ064938.1	2024-01-03	Brazil	South America
PQ064941.1	2024-01-03	Brazil	South America
PQ064944.1	2024-01-03	Brazil	South America
PQ064947.1	2024-01-24	Brazil	South America
PQ064950.1	2023-12-26	Brazil	South America
PQ064953.1	2024-01-05	Brazil	South America
PQ064956.1	2024-01-04	Brazil	South America
PQ064959.1	2024-01-04	Brazil	South America
PQ064962.1	2024-01-05	Brazil	South America
PQ064965.1	2024-01-04	Brazil	South America
PQ064968.1	2024-01-04	Brazil	South America
PQ064971.1	2024-01-04	Brazil	South America
PQ064974.1	2024-02-01	Brazil	South America
PQ064977.1	2024-01-05	Brazil	South America
PQ064980.1	2024-01-04	Brazil	South America
PQ064983.1	2024-01-05	Brazil	South America
PQ064986.1	2024-02-07	Brazil	South America
PQ064989.1	2024-01-05	Brazil	South America
PQ064992.1	2024-02-08	Brazil	South America
PQ064995.1	2024-02-08	Brazil	South America
PQ064998.1	2024-01-23	Brazil	South America
PQ065001.1	2024-01-16	Brazil	South America
PQ065004.1	2024-01-18	Brazil	South America
PQ065007.1	2024-01-25	Brazil	South America
PQ065010.1	2024-01-25	Brazil	South America
PQ065013.1	2024-01-31	Brazil	South America
PQ065016.1	2024-01-24	Brazil	South America
PQ065019.1	2024-02-02	Brazil	South America
PQ065022.1	2024-02-02	Brazil	South America
PQ065025.1	2024-02-03	Brazil	South America
PQ065028.1	2024-02-03	Brazil	South America
PQ065031.1	2024-02-03	Brazil	South America
PQ065034.1	2024-02-03	Brazil	South America
PQ065037.1	2024-02-04	Brazil	South America
PQ065040.1	2024-02-09	Brazil	South America
PQ065043.1	2024-02-09	Brazil	South America
PQ065046.1	2024-02-09	Brazil	South America
PQ065049.1	2024-01-28	Brazil	South America
PQ065052.1	2024-01-31	Brazil	South America
PQ065055.1	2024-01-31	Brazil	South America
PQ065058.1	2024-01-31	Brazil	South America
PQ065061.1	2024-01-31	Brazil	South America
PQ065064.1	2024-01-31	Brazil	South America
PQ065067.1	2024-01-31	Brazil	South America
PQ065070.1	2024-01-31	Brazil	South America
PQ065073.1	2024-01-31	Brazil	South America
PQ065076.1	2024-02-01	Brazil	South America
PQ065079.1	2024-02-01	Brazil	South America
PQ065082.1	2024-02-01	Brazil	South America
PQ065085.1	2024-02-02	Brazil	South America
PQ065088.1	2024-02-02	Brazil	South America
PQ065091.1	2024-02-01	Brazil	South America
PQ065094.1	2024-02-01	Brazil	South America
PQ065097.1	2024-02-01	Brazil	South America
PQ065100.1	2024-02-05	Brazil	South America
PQ065103.1	2024-02-05	Brazil	South America
PQ065106.1	2024-02-06	Brazil	South America
PQ065109.1	2024-02-06	Brazil	South America
PQ065112.1	2024-02-06	Brazil	South America
PQ065115.1	2024-02-06	Brazil	South America
PQ065118.1	2024-02-06	Brazil	South America
PQ065121.1	2024-02-06	Brazil	South America
PQ065124.1	2024-01-26	Brazil	South America
PQ065127.1	2024-01-31	Brazil	South America
PQ065130.1	2024-01-30	Brazil	South America
